Признак избранного обращения;ID;Признак Супер VIP пользователя;Режим скорости обработки;Название;Описание;Статус;Контактное лицо;Приоритет;SLM-индикатор;Нормативный срок;Создано;Пользователь;Автор;Причина остановки;Изменено;Теги
Да;SD-8626553;false;75-100;Обновление сертификата ГОСТ;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;Ожидает ИТ;Петрова Мария Алексеевна;Низкий;На контроле;2025-10-07;2025-10-07 15:13;Пономарева Екатерина Вячеславовна;Сидоров Алексей Игоревич;;2025-10-10 15:10;"ГОСТ; ККМ; наличные; офис; сертификат"
Нет;SD-8617990;true;75-100;Обновление сертификата ГОСТ;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;В работе;Пономарева Екатерина Вячеславовна;Средний;На контроле;2025-10-04;2025-10-04 19:17;Сидоров Алексей Игоревич;Кузнецов Павел Андреевич;;2025-10-06 04:13;"ошибка; сертификат; ККМ; наличные"
Да;SD-8644299;false;75-100;ДКО – пакет услуг;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Ожидает клиента;Кузнецов Павел Андреевич;Высокий;На контроле;2025-10-18;2025-10-18 20:41;Кульбицкая Ирина Петровна;Кульбицкая Ирина Петровна;Ожидание информации от клиента;2025-10-20 18:42;"наличные; сеть; ГОСТ"
Да;SD-8623796;true;75-100;Открытие вклада;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;В работе;Кузнецов Павел Андреевич;Критичный;На контроле;2025-10-07;2025-10-07 22:24;Петрова Мария Алексеевна;Кульбицкая Ирина Петровна;;2025-10-08 04:21;"офис; ВТБ Про; наличные; ГОСТ; касса"
Нет;SD-8634151;false;50-75;[РБ] Ошибка при внесении наличных ФЛ через кассу;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Открыто;Орлова Ксения Дмитриевна;Низкий;Просрочено;2025-10-16;2025-10-16 17:35;Кузнецов Павел Андреевич;Сидоров Алексей Игоревич;Ожидание информации от клиента;2025-10-17 05:26;"USB токен; офис; касса; вклад"
Нет;SD-8621161;false;50-75;Открытие вклада;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Ожидает клиента;Кузнецов Павел Андреевич;Средний;Просрочено;2025-10-18;2025-10-18 13:20;Орлова Ксения Дмитриевна;Кузнецов Павел Андреевич;;2025-10-19 19:27;"сертификат; ККМ; касса; ГОСТ"
Нет;SD-8696086;true;25-50;ДКО – пакет услуг;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает ИТ;Кульбицкая Ирина Петровна;Критичный;На контроле;2025-10-02;2025-10-02 05:31;Орлова Ксения Дмитриевна;Кузнецов Павел Андреевич;Ожидание информации от клиента;2025-10-02 06:32;"вклад; ГОСТ; печать; ошибка"
Да;SD-8692631;false;25-50;USB токен АСУ НКИ;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;Открыто;Кульбицкая Ирина Петровна;Высокий;Просрочено;2025-10-06;2025-10-06 21:43;Девятайкин Денис Александрович;Соколова Екатерина Александровна;;2025-10-08 16:55;"сеть; вклад; СДО; ГОСТ"
Нет;SD-8638411;false;50-75;[СМБ] Закрытие бизнес-карт;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Ожидает ИТ;Соколова Екатерина Александровна;Высокий;Просрочено;2025-10-15;2025-10-15 20:48;Петрова Мария Алексеевна;Кузнецов Павел Андреевич;;2025-10-17 04:32;"ГОСТ; ошибка; сертификат"
Да;SD-8650020;false;25-50;[РБ] Ошибка при внесении наличных ФЛ через кассу;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Закрыто;Соколова Екатерина Александровна;Низкий;Просрочено;2025-10-05;2025-10-05 18:34;Кульбицкая Ирина Петровна;Девятайкин Денис Александрович;;2025-10-05 18:55;"ВТБ Про; касса; ГОСТ"
Нет;SD-8611073;true;50-75;Заявка на выпуск карты;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает ИТ;Девятайкин Денис Александрович;Высокий;На контроле;2025-10-08;2025-10-08 17:14;Романова Анна Викторовна;Девятайкин Денис Александрович;;2025-10-12 01:28;"вклад; СДО; ВТБ Про; сеть; офис"
Нет;SD-8674511;false;0-25;[СМБ] Закрытие бизнес-карт;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;Открыто;Девятайкин Денис Александрович;Высокий;Норматив;2025-10-14;2025-10-14 01:06;Сидоров Алексей Игоревич;Орлова Ксения Дмитриевна;;2025-10-18 01:38;"касса; СДО; вклад; ККМ; ошибка"
Нет;SD-8659893;false;75-100;[РБ] Ошибка при внесении наличных ФЛ через кассу;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает клиента;Кульбицкая Ирина Петровна;Высокий;Норматив;2025-10-13;2025-10-13 05:02;Пономарева Екатерина Вячеславовна;Пономарева Екатерина Вячеславовна;;2025-10-14 14:02;"мобильное; ВТБ Про; наличные; сеть"
Нет;SD-8606127;false;50-75;Заявка на выпуск карты;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Ожидает клиента;Иванов Сергей Николаевич;Средний;Норматив;2025-10-17;2025-10-17 22:16;Орлова Ксения Дмитриевна;Соколова Екатерина Александровна;;2025-10-19 11:05;"наличные; печать; ошибка; СДО; мобильное"
Да;SD-8637426;false;25-50;Обновление сертификата ГОСТ;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Ожидает клиента;Кульбицкая Ирина Петровна;Критичный;Норматив;2025-10-08;2025-10-08 09:26;Иванов Сергей Николаевич;Орлова Ксения Дмитриевна;;2025-10-12 03:59;"мобильное; ГОСТ; ВТБ Про; ошибка; СДО"
Да;SD-8618578;false;50-75;ДКО – пакет услуг;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;Открыто;Петрова Мария Алексеевна;Средний;Просрочено;2025-10-03;2025-10-03 03:27;Орлова Ксения Дмитриевна;Сидоров Алексей Игоревич;;2025-10-06 05:32;"мобильное; СДО; сеть"
Да;SD-8618442;true;0-25;Смена мобильного телефона;Нет доступа к папке общего ресурса после смены доменного пароля.;Ожидает клиента;Соколова Екатерина Александровна;Высокий;Просрочено;2025-10-11;2025-10-11 04:10;Сидоров Алексей Игоревич;Кульбицкая Ирина Петровна;Ожидание информации от клиента;2025-10-12 18:56;"печать; касса; сеть"
Нет;SD-8608516;true;75-100;Смена мобильного телефона;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;Ожидает клиента;Соколова Екатерина Александровна;Высокий;Норматив;2025-10-08;2025-10-08 08:50;Соколова Екатерина Александровна;Иванов Сергей Николаевич;;2025-10-09 17:13;"ошибка; ГОСТ; ВТБ Про"
Да;SD-8648935;false;0-25;Смена мобильного телефона;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Открыто;Сидоров Алексей Игоревич;Критичный;На контроле;2025-10-13;2025-10-13 17:39;Девятайкин Денис Александрович;Иванов Сергей Николаевич;;2025-10-15 09:51;"офис; сеть; мобильное; ВТБ Про; сертификат"
Нет;SD-8696866;true;75-100;Открытие вклада;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;Закрыто;Сидоров Алексей Игоревич;Низкий;Норматив;2025-10-08;2025-10-08 04:07;Девятайкин Денис Александрович;Кульбицкая Ирина Петровна;;2025-10-09 18:23;"вклад; ошибка; мобильное; сертификат"
Нет;SD-8618297;false;25-50;ДКО – пакет услуг;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Ожидает клиента;Кузнецов Павел Андреевич;Низкий;Просрочено;2025-10-19;2025-10-19 18:17;Пономарева Екатерина Вячеславовна;Петрова Мария Алексеевна;;2025-10-22 03:44;"ошибка; касса; печать; ВТБ Про; СДО"
Да;SD-8627525;false;75-100;Смена мобильного телефона;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;Ожидает клиента;Романова Анна Викторовна;Высокий;Норматив;2025-10-11;2025-10-11 09:06;Кузнецов Павел Андреевич;Кузнецов Павел Андреевич;;2025-10-15 08:39;"наличные; ГОСТ; ошибка"
Нет;SD-8658439;false;0-25;Смена мобильного телефона;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;Ожидает ИТ;Орлова Ксения Дмитриевна;Критичный;Норматив;2025-10-10;2025-10-10 16:01;Кульбицкая Ирина Петровна;Сидоров Алексей Игоревич;Ожидание информации от клиента;2025-10-12 19:42;"сеть; мобильное; ККМ; ошибка; наличные"
Нет;SD-8668467;false;0-25;[РБ] Ошибка при внесении наличных ФЛ через кассу;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;В работе;Пономарева Екатерина Вячеславовна;Низкий;На контроле;2025-10-06;2025-10-06 18:22;Иванов Сергей Николаевич;Девятайкин Денис Александрович;;2025-10-07 13:31;"СДО; ВТБ Про; печать; наличные; сеть"
Да;SD-8676400;false;0-25;ВТБ Про – восстановление доступа;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;Открыто;Кузнецов Павел Андреевич;Высокий;Просрочено;2025-10-03;2025-10-03 00:58;Иванов Сергей Николаевич;Петрова Мария Алексеевна;;2025-10-04 15:31;"мобильное; вклад; ошибка"
Нет;SD-8653976;false;75-100;Открытие вклада;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Ожидает ИТ;Кульбицкая Ирина Петровна;Высокий;Норматив;2025-10-14;2025-10-14 14:39;Сидоров Алексей Игоревич;Петрова Мария Алексеевна;;2025-10-15 21:40;"печать; сертификат; сеть"
Да;SD-8651951;false;25-50;ВТБ Про – восстановление доступа;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Ожидает ИТ;Пономарева Екатерина Вячеславовна;Высокий;Норматив;2025-10-11;2025-10-11 12:59;Пономарева Екатерина Вячеславовна;Орлова Ксения Дмитриевна;;2025-10-13 11:42;"наличные; USB токен; мобильное; ККМ"
Нет;SD-8654660;true;0-25;[СМБ] Закрытие бизнес-карт;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;В работе;Соколова Екатерина Александровна;Средний;Просрочено;2025-10-05;2025-10-05 21:07;Соколова Екатерина Александровна;Соколова Екатерина Александровна;;2025-10-07 01:38;"печать; сертификат; сеть; наличные"
Да;SD-8624993;false;50-75;USB токен АСУ НКИ;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает ИТ;Петрова Мария Алексеевна;Высокий;Просрочено;2025-10-03;2025-10-03 06:13;Девятайкин Денис Александрович;Кульбицкая Ирина Петровна;;2025-10-04 03:34;"наличные; сертификат; ВТБ Про; сеть"
Нет;SD-8646744;false;75-100;Открытие вклада;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;В работе;Петрова Мария Алексеевна;Критичный;Норматив;2025-10-14;2025-10-14 22:52;Петрова Мария Алексеевна;Петрова Мария Алексеевна;;2025-10-16 01:16;"касса; СДО; ВТБ Про; ошибка"
Нет;SD-8653054;true;0-25;[СМБ] Закрытие бизнес-карт;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;Открыто;Иванов Сергей Николаевич;Средний;На контроле;2025-10-21;2025-10-21 00:55;Кульбицкая Ирина Петровна;Романова Анна Викторовна;;2025-10-24 09:44;"сертификат; USB токен; касса; ГОСТ"
Нет;SD-8641482;false;0-25;Открытие вклада;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;В работе;Кульбицкая Ирина Петровна;Критичный;На контроле;2025-10-19;2025-10-19 10:49;Орлова Ксения Дмитриевна;Сидоров Алексей Игоревич;;2025-10-23 06:33;"сеть; мобильное; офис; ККМ"
Нет;SD-8696795;true;50-75;Открытие вклада;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;Ожидает ИТ;Петрова Мария Алексеевна;Низкий;На контроле;2025-10-05;2025-10-05 18:34;Пономарева Екатерина Вячеславовна;Сидоров Алексей Игоревич;;2025-10-05 20:25;"ВТБ Про; наличные; СДО"
Да;SD-8671383;false;0-25;Печать выписки;ВТБ Про: ошибка при сбросе пароля, код подтверждения не приходит клиенту.;Ожидает клиента;Романова Анна Викторовна;Низкий;Норматив;2025-10-02;2025-10-02 03:43;Кульбицкая Ирина Петровна;Сидоров Алексей Игоревич;;2025-10-04 17:18;"мобильное; офис; ошибка; ККМ; ВТБ Про"
Нет;SD-8688356;true;50-75;ВТБ Про – восстановление доступа;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;Ожидает клиента;Романова Анна Викторовна;Высокий;Просрочено;2025-10-12;2025-10-12 12:30;Иванов Сергей Николаевич;Иванов Сергей Николаевич;;2025-10-15 20:27;"офис; ошибка; ККМ"
Нет;SD-8675796;true;50-75;ВТБ Про – восстановление доступа;Нет доступа к папке общего ресурса после смены доменного пароля.;В работе;Кузнецов Павел Андреевич;Средний;На контроле;2025-10-05;2025-10-05 01:18;Кульбицкая Ирина Петровна;Орлова Ксения Дмитриевна;Ожидание информации от клиента;2025-10-06 14:14;"касса; мобильное; ошибка"
Нет;SD-8649004;false;0-25;[СМБ] Закрытие бизнес-карт;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;В работе;Романова Анна Викторовна;Средний;Норматив;2025-10-21;2025-10-21 17:39;Петрова Мария Алексеевна;Кузнецов Павел Андреевич;Ожидание информации от клиента;2025-10-24 03:37;"USB токен; ГОСТ; СДО; касса"
Нет;SD-8693022;false;50-75;Заявка на выпуск карты;Нет доступа к папке общего ресурса после смены доменного пароля.;Ожидает клиента;Девятайкин Денис Александрович;Низкий;Норматив;2025-10-03;2025-10-03 21:37;Иванов Сергей Николаевич;Соколова Екатерина Александровна;;2025-10-07 07:15;"ошибка; касса; сертификат; ВТБ Про; печать"
Да;SD-8610215;true;0-25;ВТБ Про – восстановление доступа;Клиент обратился по вопросу закрытия расчетного счета бизнес-карты. При закрытии выдает ошибку «по данному счету уже выполняется процедура закрытия».;Ожидает ИТ;Кульбицкая Ирина Петровна;Критичный;На контроле;2025-10-05;2025-10-05 19:51;Кузнецов Павел Андреевич;Девятайкин Денис Александрович;;2025-10-09 03:10;"СДО; офис; ВТБ Про"
Нет;SD-8637132;true;50-75;Открытие вклада;Сертификат ГОСТ истек, просим выпустить новый и обновить на рабочей станции.;Ожидает ИТ;Сидоров Алексей Игоревич;Низкий;Просрочено;2025-10-18;2025-10-18 05:06;Пономарева Екатерина Вячеславовна;Сидоров Алексей Игоревич;;2025-10-19 15:32;"касса; ВТБ Про; офис"
Да;SD-8611860;true;25-50;Смена мобильного телефона;Смена мобильного телефона клиента: не проходит проверка номера, запрос отклоняется.;В работе;Соколова Екатерина Александровна;Низкий;На контроле;2025-10-11;2025-10-11 14:51;Девятайкин Денис Александрович;Сидоров Алексей Игоревич;;2025-10-12 05:43;"сертификат; печать; вклад; офис; СДО"
Нет;SD-8668309;true;75-100;USB токен АСУ НКИ;АСУ НКИ: ключевой носитель рутокен не определяется системой, требуется проверка параметров конфигурации.;В работе;Иванов Сергей Николаевич;Средний;Норматив;2025-10-09;2025-10-09 18:41;Орлова Ксения Дмитриевна;Петрова Мария Алексеевна;;2025-10-11 06:51;"ВТБ Про; наличные; печать; USB токен; офис"
Да;SD-8653016;false;25-50;Заявка на выпуск карты;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Открыто;Сидоров Алексей Игоревич;Средний;Просрочено;2025-10-16;2025-10-16 21:00;Петрова Мария Алексеевна;Кульбицкая Ирина Петровна;;2025-10-18 01:39;"сеть; ошибка; касса; вклад; печать"
Да;SD-8651096;true;50-75;Заявка на выпуск карты;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Закрыто;Пономарева Екатерина Вячеславовна;Критичный;Просрочено;2025-10-17;2025-10-17 13:04;Петрова Мария Алексеевна;Орлова Ксения Дмитриевна;;2025-10-19 06:11;"касса; сеть; USB токен"
Нет;SD-8658565;true;75-100;Заявка на выпуск карты;Не удается открыть вклад в мобильном приложении, возникает сообщение «операция недоступна».;Открыто;Кульбицкая Ирина Петровна;Средний;Просрочено;2025-10-13;2025-10-13 05:09;Сидоров Алексей Игоревич;Петрова Мария Алексеевна;;2025-10-15 16:24;"вклад; сеть; СДО; касса"
Нет;SD-8610779;false;75-100;Печать выписки;Заявка на выпуск карты: требуется корректировка ФИО, неверная транслитерация.;В работе;Соколова Екатерина Александровна;Низкий;На контроле;2025-10-02;2025-10-02 07:40;Кульбицкая Ирина Петровна;Пономарева Екатерина Вячеславовна;;2025-10-05 16:48;"ГОСТ; ККМ; офис; СДО"
Да;SD-8628983;false;50-75;[РБ] Ошибка при внесении наличных ФЛ через кассу;Нет доступа к папке общего ресурса после смены доменного пароля.;Закрыто;Иванов Сергей Николаевич;Критичный;Норматив;2025-10-20;2025-10-20 11:15;Иванов Сергей Николаевич;Кузнецов Павел Андреевич;Ожидание информации от клиента;2025-10-24 08:14;"ошибка; USB токен; ГОСТ; ККМ"
Нет;SD-8648793;true;25-50;[СМБ] Закрытие бизнес-карт;Не проходит подписание документа в СДО, заявка зависает в статусе «Черновик».;Ожидает клиента;Петрова Мария Алексеевна;Критичный;Норматив;2025-10-13;2025-10-13 14:46;Иванов Сергей Николаевич;Кульбицкая Ирина Петровна;;2025-10-14 21:06;"СДО; сертификат; мобильное"
Да;SD-8690273;true;50-75;[РБ] Ошибка при внесении наличных ФЛ через кассу;Проблема с печатью кассовых документов, драйвер ККМ просит обновление.;Ожидает ИТ;Петрова Мария Алексеевна;Средний;Просрочено;2025-10-14;2025-10-14 19:24;Петрова Мария Алексеевна;Кульбицкая Ирина Петровна;;2025-10-17 14:01;"USB токен; печать; касса"
Нет;SD-8640641;false;25-50;Заявка на выпуск карты;Нет доступа к папке общего ресурса после смены доменного пароля.;В работе;Иванов Сергей Николаевич;Критичный;Просрочено;2025-10-08;2025-10-08 12:39;Кузнецов Павел Андреевич;Петрова Мария Алексеевна;Ожидание информации от клиента;2025-10-11 06:55;"мобильное; ошибка; USB токен"
